project,same,new,missed,markup_baseline,uaes_total,union_total,baseline_recovery_pct,new_union_pct
bistro-restaurant,158,178,56,214,336,392,73.83177570093459,45.40816326530612
cv-application,22,0,5,27,22,27,81.48148148148148,0.0
cypression-realworld-app,25,60,34,59,85,119,42.3728813559322,50.42016806722689
feedback-app,14,1,7,21,15,22,66.66666666666667,4.545454545454546
habit-tracker-web-app,13,0,2,15,13,15,86.66666666666667,0.0
job-tracker,9,0,0,9,9,9,100.0,0.0
juice-shop,12,5,31,43,17,48,27.906976744186046,10.416666666666666
learn-educational,164,216,64,228,380,444,71.9298245614035,48.648648648648646
open-resume,59,9,112,171,68,180,34.50292397660819,5.0
petclinic,132,178,35,167,310,345,79.04191616766467,51.594202898550726
pizzaflow,12,0,10,22,12,22,54.54545454545455,0.0
react-hotel-booking-app,22,0,4,26,22,26,84.61538461538461,0.0
react-hotel-reservation-system,7,2,0,7,9,9,100.0,22.22222222222222
react-restaurant,16,18,1,17,34,35,94.11764705882354,51.42857142857143
react-shopping-cart,15,3,66,81,18,84,18.51851851851852,3.5714285714285716
refine_dashboard,17,104,140,157,121,261,10.828025477707007,39.84674329501916
restaurant-react-js-app,16,0,76,92,16,92,17.391304347826086,0.0
school-educational,161,183,72,233,344,416,69.09871244635193,43.99038461538461
todomvc,7,0,0,7,7,7,100.0,0.0
vue_crud_bootstrap,19,12,12,31,31,43,61.29032258064516,27.906976744186046
